 2.9965985614e+00,  6.3405795796e+01, -9.9998667818e-01, -1.0000000000e+00,  2.0061454744e+01, 
-8.5344050618e-03,  1.5568909396e+00, -9.9998667818e-01, -1.0000000000e+00,  1.0856647966e+01, 
-5.4700039186e-01, -2.0677139672e-01, -9.9998667818e-01, -1.0000000000e+00,  5.8752870396e+00, 
-8.3080794885e-01, -9.1008818750e-01, -3.6657693834e-01, -3.1722486892e-01,  3.1795263055e+00, 
-9.1097295388e-01, -9.7862010085e-01, -2.0016189714e-01, -8.1604468746e-02,  1.7206627454e+00, 
-9.4510392348e-01, -9.9392687286e-01, -7.2470682303e-02, -8.8857070069e-03,  9.3117024328e-01, 
-9.6805345257e-01, -9.9829231096e-01, -6.3025679121e-02, -5.0491998415e-03,  5.0392095969e-01, 
-9.8153816129e-01, -9.9949976553e-01, -2.2095393406e-02, -5.0845045237e-04,  2.7270666717e-01, 
-9.8952546281e-01, -9.9985227477e-01, -1.0177394418e-02, -1.0031100641e-04,  1.4758053796e-01, 
-9.9417080694e-01, -9.9995647263e-01, -8.2301018050e-03, -4.1604800209e-05,  7.9866089855e-02, 
-9.9678549300e-01, -9.9998718702e-01, -4.0624664179e-03, -8.6877505382e-06,  4.3221094034e-02, 
-9.9823936093e-01, -9.9999623471e-01, -2.8259244976e-03, -3.0274850861e-06,  2.3389938995e-02, 
-9.9904205291e-01, -9.9999889602e-01, -1.4134392428e-03, -6.4722491877e-07,  1.2657922212e-02, 
-9.9947942687e-01, -9.9999967566e-01, -6.1537932313e-04, -1.2559341234e-07,  6.8500817705e-03, 
-9.9971843305e-01, -9.9999990396e-01, -3.0176355203e-04, -2.8303720923e-08,  3.7070555085e-03, 
-9.9984816803e-01, -9.9999997049e-01, -1.8426876225e-04, -6.7977826701e-09,  2.0061454744e-03, 
-9.9991705673e-01, -9.9999998978e-01, -1.2030223329e-04, -1.4491794431e-09,  1.0856647966e-03, 
-9.9995110141e-01, -9.9999999546e-01, -7.4609597369e-05, -1.0726186606e-10,  5.8752870396e-04, 
-9.9996666660e-01, -9.9999999728e-01, -2.2721898258e-05,  2.4599700055e-10,  3.1795263055e-04, 
-9.9997373702e-01, -9.9999999796e-01, -1.1458716202e-05,  2.7659852186e-10,  1.7206627454e-04, 
-9.9997709981e-01, -9.9999999826e-01, -6.9492634689e-06,  2.8108049221e-10,  9.3117024328e-05, 
-9.9997877872e-01, -9.9999999840e-01, -5.0130619921e-06,  2.8778712746e-10,  5.0392095969e-05, 
-9.9997964574e-01, -9.9999999847e-01, -2.2940015703e-06,  2.8924396211e-10,  2.7270666717e-05, 
-9.9998010280e-01, -9.9999999850e-01, -9.7898597151e-07,  2.4570456780e-10,  1.4758053796e-05, 
-9.9998034660e-01, -9.9999999852e-01, -6.4360688057e-07,  3.1894042962e-10,  7.9866089855e-06, 
-9.9998047750e-01, -9.9999999853e-01, -4.1593925137e-07,  3.0085245406e-10,  4.3221094034e-06, 
-9.9998054804e-01, -9.9999999854e-01, -1.6960754323e-07,  2.6928237418e-10,  2.3389938995e-06, 
-9.9998058612e-01, -9.9999999854e-01, -1.3877614791e-07,  5.1498716402e-10,  1.2657922212e-06, 
-9.9998060670e-01, -9.9999999854e-01, -6.3088541391e-08, -2.4771662499e-10,  6.8500817705e-07, 
-9.9998061783e-01, -9.9999999854e-01, -1.2512229475e-08, -8.0771278554e-10,  3.7070555085e-07, 
-9.9998062385e-01, -9.9999999854e-01,  0.0000000000e+00,  0.0000000000e+00,  2.0061454744e-07, 
