0.0000000000E+00, 
3.8500000000E+01, 
1.9250000000E+01, 
9.6250000000E+00, 
4.8125000000E+00, 
2.4062500000E+00, 
1.2031250000E+00, 
1.8046875000E+00, 
2.1054687500E+00, 
2.2558593750E+00, 
2.1806640625E+00, 
2.1430664062E+00, 
2.1242675781E+00, 
2.1148681641E+00, 
2.1195678711E+00, 
2.1219177246E+00, 
2.1207427979E+00, 
2.1201553345E+00, 
2.1198616028E+00, 
2.1200084686E+00, 
2.1199350357E+00, 
2.1198983192E+00, 
2.1199166775E+00, 
2.1199074984E+00, 
2.1199120879E+00, 
2.1199097931E+00, 
2.1199086457E+00, 
2.1199092194E+00, 
2.1199089326E+00, 
2.1199090760E+00, 
2.1199090043E+00, 
2.1199089685E+00, 
2.1199089864E+00, 
2.1199089953E+00, 
2.1199089998E+00, 
2.1199089976E+00, 
2.1199089987E+00, 
2.1199089981E+00, 
2.1199089984E+00, 
2.1199089986E+00, 
2.1199089985E+00, 
2.1199089985E+00, 
2.1199089985E+00, 
2.1199089985E+00, 
2.1199089985E+00, 
