3.8499988867E+01, 
3.8499963796E+01, 
3.8499882273E+01, 
3.8499617175E+01, 
3.8498755139E+01, 
3.8495952109E+01, 
3.8486839132E+01, 
3.8457221260E+01, 
3.8361048379E+01, 
3.8049748237E+01, 
3.7045634888E+01, 
3.3935192353E+01, 
2.5434743222E+01, 
1.0581896376E+01, 
2.5203683907E+00, 
2.1436654922E+00, 
2.1175258907E+00, 
2.1197621984E+00, 
2.1198999348E+00, 
2.1199097676E+00, 
2.1199090361E+00, 
2.1199090008E+00, 
2.1199089986E+00, 
2.1199089985E+00, 
2.1199089985E+00, 
