3.4580389903E+00, 
3.4580369887E+00, 
3.4580309808E+00, 
3.4580129472E+00, 
3.4579588183E+00, 
3.4577963500E+00, 
3.4573087295E+00, 
3.4558454898E+00, 
3.4514570476E+00, 
3.4383169588E+00, 
3.3991669056E+00, 
3.2842398859E+00, 
2.9615362656E+00, 
2.1681580583E+00, 
8.4945196699E-01, 
1.5283245216E-01, 
1.8912864038E-01, 
1.9040742243E-01, 
1.9040857368E-01, 
1.9040857384E-01, 
1.9040857384E-01, 
